zip,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,Unnamed: 0,age_5,age5_9,age10_14,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75_79,age80_84,age85_,civilian_employed,management,business_finance,computer_math,archi_engi,science,social_services,legal,education,arts_media,health,health_technicians,health_service,firefighters,law_enforcement,food_service,building_service,personal_care,sales,office_admin,farming_fishing_forestry,construction,maintenance_repair,production,trasportation,material_moving,population_race,hispanic,white,black,asian,households_total,median_income,mean_income,own_vehicle,carpool,public,walk,other_transport,home,commute,insured,private_insurance,public_insurance,uninsured,share_male,household_size,density,_ID,borough,lat,lng,uhf,share_cat1,share_cat2,share_cat3,share_cat4,share_cat5,share_cat6,share_cat7,share_cat8,share_cat9,share_cat10,share_cat11,share_cat12,share_cat13,share_management,share_business_finance,share_computer_math,share_archi_engi,share_science,share_social_services,share_legal,share_education,share_arts_media,share_health,share_health_technicians,share_health_service,share_firefighters,share_law_enforcement,share_food_service,share_building_service,share_personal_care,share_sales,share_office_admin,share_farming_fishing_forestry,share_construction,share_maintenance_repair,share_production,share_trasportation,share_material_moving,share_hispanic,share_white,share_black,share_asian,total_pop,log_median_income,mean_age,share_below_20,share_20_40,share_40_60,share_above_60,log_below_20,log_20_40,log_40_60,log_above_60,log_mean_age,log_pop,log_density,log_commute_time,log_public,log_uninsured,log_black,log_hispanic,log_asian,log_white,log_male,log_household_size,borough_cat,dborough2,dborough3,dborough4,dborough5,log_cat_1,log_cat_2,log_cat_3,log_cat_4,log_cat_5,log_cat_6,log_cat_7,log_cat_8,log_cat_9,log_cat_10,log_cat_11,log_cat_12,log_cat_13,spread,spread_share
10001,Chelsea/NoMad/West Chelsea,Manhattan,368,1561.77,23563.03,21,89.12,15.51,2373,0,622.0,893.0,832.0,1237.0,2524.0,2935.0,2747.0,1823.0,1682.0,1596.0,1320.0,1348.0,1437.0,1031.0,607.0,789.0,284.0,240.0,14311.0,2708.0,2064.0,883.0,126.0,124.0,221.0,461.0,550.0,1381.0,502.0,136.0,121.0,113.0,19.0,502.0,320.0,459.0,1767.0,1384.0,0.0,42.0,52.0,134.0,212.0,30.0,23947.0,0.144,0.516,0.104,0.218,12347.0,85221.0,161227.0,0.0290191118605958,0.010118044,0.4611439010680157,0.34211636,0.08881394,0.06878865,28.1,0.9425815342214056,0.7624337077713284,0.2591556353614231,0.057418466,0.5059506409988725,1.85,36638.7,1.0,1.0,40.75063,-73.99718,306.0,0.25588503,0.3384632,0.00664915,0.024719825,0.026918333,0.013780899,0.006059306,0.0010188214,0.04407743,0.02461258,0.011046168,0.0027883532,0.011367902,0.18922508,0.14422472,0.06170079,0.008804416,0.008664664,0.015442667,0.032212984,0.038431976,0.0964992,0.03507791,0.009503179,0.008455034,0.007896024,0.00132765,0.03507791,0.022360422,0.03207323,0.123471454,0.09670883,0.0,0.0029348054,0.0036335685,0.009363427,0.01481378,0.0020962895,25.98321,46.793392,12.548969,11.904667,23947.0,4.4452477,36.505825,0.14966384,0.41879985,0.24829833,0.18323798,8.184235,9.213236,8.690474,8.386629,3.597472,10.083598,10.508861,3.3357697,3.831125,1.7477808,7.820234,8.145657,8.560338,9.421949,9.402282,0.6151856,1.0,0.0,0.0,0.0,0.0,3.2421432,3.5218303,-0.40809605,0.9050205,0.9902225,0.32069844,-0.5009898,-2.2839386,1.4833628,0.90067255,0.099498525,-1.277134,0.1282087,0.7722845000000005,0.008268259
10002,Chinatown/Lower East Side,Manhattan,1057,1377.1,76755.41,149,194.12,20.94,5047,1,2827.0,2907.0,3007.0,3209.0,5037.0,8004.0,6601.0,5552.0,4586.0,5656.0,4944.0,4582.0,5276.0,3989.0,3760.0,2876.0,2317.0,2795.0,34104.0,3823.0,2233.0,1316.0,323.0,283.0,576.0,748.0,1561.0,2983.0,607.0,298.0,1652.0,385.0,243.0,3471.0,1333.0,1344.0,3042.0,4183.0,18.0,843.0,170.0,1087.0,991.0,591.0,77925.0,0.2739999999999999,0.208,0.061,0.429,33461.0,35449.0,65718.0,0.055470646408343,0.030896941,0.5378045491324283,0.2598819,0.06658875,0.049357187,32.6,0.928928194433717,0.4591797327566231,0.5331608351999176,0.0710718,0.486596085980109,2.27,90849.3,2.0,1.0,40.71577,-73.98621,309.0,0.11330851,0.26164237,0.005294965,0.013995172,0.011357046,0.03648474,0.007203398,0.0045465603,0.08988344,0.025146406,0.047505006,0.003180721,0.018541733,0.112098284,0.065476194,0.03858785,0.00947103,0.008298147,0.016889514,0.021932911,0.045771755,0.087467745,0.017798498,0.008737978,0.048440065,0.011288999,0.007125264,0.10177692,0.039086323,0.039408866,0.08919775,0.12265424,0.0005277973,0.024718508,0.0049847527,0.031873096,0.029058175,0.017329346,25.98321,46.793392,12.548969,11.904667,77925.0,3.568095,40.88861,0.15335259,0.32331088,0.2536798,0.26965672,9.388487,10.134361,9.89182,9.952896,3.7108517,11.263502,11.416957,3.4843123,3.98491,1.9611056,8.46662,9.968875,10.417204,9.693285,10.543181,0.8197798,1.0,0.0,0.0,0.0,0.0,2.427529,3.2643936,-0.6358287,0.33612734,0.12725323,1.294309,-0.32803226,-0.7882141,2.1959286,0.92212987,1.55825,-1.1454772,0.6174389,0.9593030000000002,0.00836702
10003,East Village/Gramercy/Greenwich Village,Manhattan,451,838.26,53801.62,33,61.34,12.2,3696,2,1846.0,797.0,593.0,7423.0,5037.0,8382.0,6007.0,4860.0,3274.0,2601.0,2208.0,2405.0,3223.0,2153.0,1447.0,1015.0,812.0,952.0,32998.0,6093.0,4553.0,1465.0,644.0,396.0,696.0,1453.0,1874.0,4629.0,1369.0,109.0,382.0,124.0,110.0,1063.0,337.0,703.0,3903.0,2496.0,0.0,145.0,57.0,137.0,192.0,68.0,55035.0,0.079,0.73,0.037,0.131,26699.0,104441.0,182531.0,0.0416487894575543,0.016304014,0.5312289304321177,0.2620288,0.07523751,0.073551945,25.5,0.955538960329314,0.8630833120833485,0.1655859531528906,0.044461038,0.4934314527119106,1.68,98998.8,3.0,1.0,40.73183,-73.98918,309.0,0.23439014,0.34581682,0.008718627,0.031990312,0.030140907,0.010810216,0.0027300748,0.0024218406,0.030823426,0.0154777635,0.0077058566,0.0012549538,0.0042272126,0.18464756,0.13797806,0.04439663,0.019516334,0.0120007275,0.021092188,0.044032972,0.05679132,0.14028123,0.041487362,0.0033032305,0.011576459,0.0037578035,0.0033335353,0.032214075,0.01021274,0.02130432,0.1182799,0.07564095,0.0,0.0043942058,0.0017273774,0.0041517667,0.0058185346,0.002060731,25.98321,46.793392,12.548969,11.904667,55035.0,4.6486225,34.980923,0.19367675,0.4412828,0.19056964,0.1744708,9.274159,10.097655,9.257987,9.169726,3.554803,10.915725,11.502863,3.2386785,3.9726079,1.4920281,7.6188874,8.377418,8.883166,10.601014,10.209353,0.5187938,1.0,0.0,0.0,0.0,0.0,3.1544018,3.5433242,-0.13712338,1.162848,1.1032982,0.07790652,-1.298256,-1.4180573,1.1256899,0.4368193,-0.26060447,-2.0754864,-0.86104226,0.6733880000000001,0.004015626299999999
10004,Financial District,Manhattan,31,849.17,3650.61,1,27.39,12.11,256,3,100.0,83.0,111.0,135.0,152.0,412.0,454.0,367.0,240.0,163.0,240.0,183.0,152.0,83.0,81.0,29.0,5.0,0.0,2101.0,508.0,407.0,169.0,11.0,0.0,33.0,150.0,118.0,182.0,55.0,0.0,0.0,0.0,7.0,11.0,0.0,28.0,240.0,172.0,0.0,2.0,8.0,0.0,0.0,0.0,2990.0,0.074,0.629,0.002,0.264,1587.0,140450.0,191760.0,0.0741981809478219,0.006223073,0.5926280516993777,0.19770224,0.013403542,0.115844905,24.5,0.9347826086956522,0.9070234113712374,0.0752508361204013,0.06521739,0.4488294314381271,1.88,5402.4,4.0,1.0,40.68863,-74.01824,310.0,0.36629304,0.37029624,0.0,0.06004804,0.022017615,0.0,0.0,0.0028022418,0.0044035227,0.011208967,0.0008006405,0.003202562,0.0,0.24178962,0.19371727,0.080437884,0.005235602,0.0,0.015706806,0.07139458,0.056163732,0.08662542,0.02617801,0.0,0.0,0.0,0.0033317467,0.005235602,0.0,0.013326987,0.11423132,0.08186578,0.0,0.0009519277,0.0038077107,0.0,0.0,0.0,25.98321,46.793392,12.548969,11.904667,2990.0,4.9448514,35.016724,0.14347826,0.4632107,0.27625418,0.117056854,6.061457,7.233455,6.7165947,5.857933,3.5558257,8.003029,8.594599,3.198673,4.0819817,1.875141,1.7884206,5.3993382,6.6712227,7.539405,7.201916,0.6312718,1.0,0.0,0.0,0.0,0.0,3.6008487,3.6117182,,1.7925599,0.7892577,,,-1.2721653,-0.82018024,0.114129014,-2.5249283,-1.138634,,0.43825480000000017,0.0036789299999999995
10005,Financial District,Manhattan,62,738.44,8396.11,2,23.82,10.93,567,4,401.0,268.0,126.0,244.0,1238.0,1949.0,1364.0,1363.0,623.0,451.0,189.0,242.0,43.0,7.0,130.0,42.0,0.0,0.0,6795.0,1621.0,1050.0,487.0,25.0,172.0,47.0,534.0,180.0,689.0,254.0,0.0,0.0,0.0,0.0,88.0,26.0,49.0,1059.0,407.0,0.0,40.0,57.0,7.0,3.0,0.0,8680.0,0.061,0.7140000000000001,0.031,0.162,4239.0,154213.0,201734.0,0.0156712004730928,0.0014784151,0.6395623891188645,0.30218807,0.006357185,0.034742754,23.3,0.956777316735823,0.9285384970032272,0.0612033195020746,0.043222684,0.4610599078341014,2.04,102965.2,5.0,1.0,40.70603,-74.00883,310.0,0.34661302,0.37555152,0.02232027,0.06929665,0.032961328,0.0,0.0,0.0,0.014793667,0.0063586817,0.0060991435,0.0073968335,0.00038930704,0.23855776,0.15452538,0.071670346,0.0036791759,0.02531273,0.006916851,0.0785872,0.026490066,0.10139809,0.037380427,0.0,0.0,0.0,0.0,0.012950699,0.003826343,0.0072111846,0.15584989,0.059896983,0.0,0.0058866814,0.008388521,0.0010301692,0.0004415011,0.0,25.98321,46.793392,12.548969,11.904667,8680.0,5.038335,28.835253,0.11970046,0.6813364,0.1733871,0.025576036,6.946014,8.685078,7.3165483,5.4026775,3.3615987,9.068777,11.542147,3.1484535,4.1581993,1.4637804,5.595009,6.2718954,7.2486176,8.731904,8.29455,0.7129498,1.0,0.0,0.0,0.0,0.0,3.5456238,3.6258106,0.80291015,1.9358115,1.1927499,,,,0.39161408,-0.452764,-0.49443674,-0.3015331,-3.245972,0.6613982999999997,0.0034562209
10006,Financial District,Manhattan,24,694.09,3457.77,0,0.0,9.3,258,5,398.0,117.0,37.0,0.0,370.0,772.0,761.0,447.0,193.0,199.0,33.0,166.0,86.0,0.0,0.0,0.0,0.0,0.0,2660.0,594.0,581.0,230.0,30.0,20.0,57.0,247.0,99.0,83.0,122.0,37.0,0.0,0.0,21.0,62.0,0.0,41.0,263.0,151.0,0.0,22.0,0.0,0.0,0.0,0.0,3579.0,0.123,0.643,0.017,0.185,1815.0,145893.0,196771.0,0.0145817344589409,0.02877974,0.5287797390636991,0.3434382,0.015349194,0.069071375,26.9,0.9787650181614976,0.9717798267672534,0.0100586756077116,0.021234982,0.4431405420508522,1.97,32132.0,6.0,1.0,40.70961,-74.01295,310.0,0.3881731,0.30161875,0.006607202,0.081598945,0.04030393,0.012223324,0.0,0.006937562,0.020482326,0.013544763,0.007267922,0.0,0.0,0.22330827,0.21842106,0.08646616,0.011278195,0.007518797,0.021428572,0.092857145,0.037218045,0.031203007,0.04586466,0.013909775,0.0,0.0,0.007894737,0.023308272,0.0,0.015413534,0.09887218,0.056766916,0.0,0.008270676,0.0,0.0,0.0,0.0,25.98321,46.793392,12.548969,11.904667,3579.0,4.9828734,27.426655,0.15423302,0.656608,0.16512993,0.024029057,6.313548,7.762171,6.381816,4.454347,3.3115153,8.182838,10.377607,3.2921262,3.9679868,0.7530648,4.108297,6.087268,6.495439,7.741228,7.3689704,0.67803353,1.0,0.0,0.0,0.0,0.0,3.6588664,3.4065788,-0.41442484,2.0992312,1.3938639,0.20076083,,-0.36563468,0.7169773,0.3034149,-0.31911466,,,1.0986124,0.004470522500000001
10007,TriBeCa,Manhattan,59,715.17,8249.73,3,36.36,9.66,611,6,453.0,517.0,234.0,247.0,249.0,526.0,1203.0,593.0,795.0,821.0,313.0,281.0,390.0,197.0,97.0,29.0,70.0,21.0,3829.0,1033.0,638.0,126.0,0.0,35.0,42.0,304.0,142.0,332.0,217.0,0.0,10.0,0.0,16.0,29.0,38.0,0.0,664.0,139.0,0.0,58.0,0.0,0.0,0.0,6.0,7036.0,0.089,0.6759999999999999,0.044,0.136,2761.0,242644.0,376573.0,0.0844700944386149,0.0044596014,0.4900314795383001,0.23557188,0.11857293,0.06689402,27.1,0.991755192643095,0.9318217853179008,0.0984620263199619,0.008244807,0.585986355884025,2.22,41282.4,7.0,1.0,40.71385,-74.00775,310.0,0.3084164,0.26670358,0.006459948,0.056109264,0.04005168,0.0018456995,0.0,0.0029531193,0.012366187,0.0,0.011812477,0.0,0.0,0.26978323,0.16662315,0.032906763,0.0,0.009140768,0.010968922,0.079394095,0.0370854,0.08670671,0.05667276,0.0,0.002611648,0.0,0.0041786367,0.007573779,0.009924262,0.0,0.17341343,0.036301907,0.0,0.015147558,0.0,0.0,0.0,0.0015669888,25.98321,46.793392,12.548969,11.904667,7036.0,5.4915953,33.17581,0.20622513,0.36540648,0.31409892,0.11426947,7.2800083,7.8520503,7.700748,6.689599,3.501821,8.858795,10.628192,3.2995338,3.8918846,-0.19300155,5.7352295,6.4396763,6.8636947,8.467233,8.324336,0.79750717,1.0,0.0,0.0,0.0,0.0,3.4288657,3.2835526,-0.4369638,1.7247158,1.3875855,-1.6897267,,-1.2197231,0.21238078,,0.16657129,,,0.6763401,0.004121659999999999
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,693,1179.61,58747.99,65,110.64,14.97,4629,7,1533.0,1518.0,2060.0,2265.0,5835.0,9290.0,6281.0,4437.0,3492.0,3954.0,3525.0,3741.0,3283.0,3085.0,2210.0,1371.0,975.0,1286.0,33408.0,4846.0,3605.0,1589.0,420.0,399.0,645.0,1199.0,1909.0,3955.0,1528.0,127.0,392.0,423.0,31.0,1665.0,762.0,2020.0,3192.0,3147.0,0.0,463.0,134.0,495.0,291.0,171.0,60141.0,0.258,0.498,0.08,0.133,29725.0,60521.0,90253.0,0.0438837920489296,0.01204893,0.5948012232415902,0.21363914,0.08825688,0.04737003,31.6,0.9244431867363584,0.6481672603788661,0.3460731764157539,0.075556815,0.4547646364377047,2.0,100237.0,8.0,1.0,40.7264,-73.97863,309.0,0.18330695,0.32225668,0.008654535,0.026006984,0.033143178,0.011257402,0.009175108,0.00067240745,0.052642994,0.043814935,0.024488645,0.0029065353,0.0063119535,0.14505507,0.107908286,0.047563456,0.012571839,0.011943247,0.019306753,0.035889607,0.057142,0.118384816,0.04573755,0.0038014846,0.011733716,0.012661638,0.00092792144,0.04983836,0.022808908,0.06046456,0.09554598,0.094198994,0.0,0.013858956,0.0040110154,0.01481681,0.008710489,0.0051185344,25.98321,46.793392,12.548969,11.904667,60141.0,4.1029906,38.063965,0.12264512,0.42970684,0.24462514,0.2030229,8.905987,10.159795,9.596418,9.41001,3.639268,11.004447,11.515293,3.4531572,4.0856423,2.0222998,8.478719,9.649652,8.9870405,10.307292,10.216472,0.6931472,1.0,0.0,0.0,0.0,0.0,2.908577,3.4727633,-0.14450166,0.95578,1.1982518,0.11844075,-0.086090945,-2.699476,1.660948,1.4773897,0.89562446,-1.2356234,-0.46013987,0.8439364999999999,0.0065679
10010,Flatiron/Gramercy/Kips Bay,Manhattan,267,824.79,32371.86,20,61.78,9.64,2771,8,1530.0,947.0,726.0,1422.0,3134.0,5364.0,3784.0,2562.0,2157.0,2155.0,1735.0,1960.0,1122.0,1377.0,1349.0,777.0,388.0,630.0,20304.0,4146.0,3592.0,942.0,323.0,458.0,377.0,1252.0,767.0,1490.0,1247.0,271.0,52.0,217.0,14.0,304.0,154.0,544.0,2094.0,1408.0,0.0,106.0,250.0,141.0,43.0,112.0,33119.0,0.128,0.64,0.054,0.146,15972.0,115084.0,177950.0,0.0394605891719745,0.012191481,0.5653861464968153,0.24616839,0.07036226,0.06643113,26.2,0.960386444168509,0.8697416638904873,0.1811684181834701,0.039613556,0.5123041154624234,1.88,78604.4,9.0,1.0,40.73906,-73.98225,307.0,0.30470565,0.29143533,0.018035047,0.049301043,0.049104154,0.012719039,0.008544989,0.00055128965,0.018035047,0.02142154,0.014136641,0.009844458,0.0016932467,0.20419621,0.17691095,0.0463948,0.015908195,0.022557132,0.01856777,0.061662726,0.037775807,0.07338455,0.06141647,0.013347124,0.0025610717,0.01068755,0.0006895193,0.0149724195,0.0075847125,0.02679275,0.10313239,0.06934594,0.0,0.005220646,0.012312844,0.0069444445,0.0021178094,0.005516154,25.98321,46.793392,12.548969,11.904667,33119.0,4.745662,36.247623,0.13964793,0.44820192,0.24176455,0.17038558,8.439232,9.605351,8.988071,8.638171,3.5903738,10.407863,11.272183,3.2657595,4.034924,1.3765863,7.4890914,8.352138,8.483714,9.9615755,9.739025,0.6312718,1.0,0.0,0.0,0.0,0.0,3.4167612,3.3722332,0.5897318,1.5953602,1.5913585,0.2405149,-0.15724008,-2.89808,0.5897318,0.7618119,0.346185,-0.015676463,-1.7759373,0.6969000000000003,0.004046015500000001
10011,Chelsea,Manhattan,522,1054.53,49500.52,37,74.75,13.63,3829,9,1685.0,1445.0,1020.0,1211.0,2917.0,5872.0,6860.0,4488.0,4066.0,3612.0,2591.0,3447.0,3390.0,2549.0,2062.0,1534.0,821.0,1141.0,33769.0,8186.0,4244.0,1236.0,384.0,396.0,722.0,1925.0,1784.0,4035.0,1138.0,95.0,167.0,120.0,215.0,577.0,357.0,787.0,4427.0,2244.0,0.0,204.0,121.0,173.0,184.0,48.0,50711.0,0.111,0.71,0.043,0.104,28753.0,123208.0,197050.0,0.043856742672972,0.01364499,0.553661254857074,0.24943523,0.073014244,0.06638754,25.5,0.9559995243191818,0.8258215404130496,0.2326673801878939,0.044000477,0.5119993689732011,1.71,80408.9,10.0,1.0,40.74204,-74.00062,306.0,0.32324335,0.3857076,0.010298018,0.05005981,0.029593801,0.006813335,0.0031206117,0.005591096,0.02428876,0.020466011,0.011052166,0.0031466167,0.004784938,0.24241167,0.12567739,0.036601618,0.011371376,0.011726731,0.021380557,0.057004947,0.05282952,0.11948829,0.033699546,0.002813231,0.0049453643,0.003553555,0.006366786,0.017086677,0.010571826,0.0233054,0.13109657,0.06645148,0.0,0.0060410434,0.003583168,0.005123042,0.005448784,0.001421422,25.98321,46.793392,12.548969,11.904667,50711.0,4.813874,40.067047,0.105716705,0.39709333,0.27047387,0.2267161,8.5869055,9.910315,9.526319,9.349841,3.6905541,10.833899,11.29488,3.2386785,4.013968,1.4816154,7.687343,8.6356735,8.570534,10.491407,10.164466,0.53649336,1.0,0.0,0.0,0.0,0.0,3.4758203,3.6524944,0.02936639,1.6106334,1.0849798,-0.38370335,-1.164556,-0.58140975,0.88742864,0.71618044,0.100041345,-1.1562573,-0.73711205,0.5275677999999999,0.004219992300000001
